NOM;1_GEN;2_DAT;3_ACC;4_NOM_DEF;5_GEN_DEF;6_DAT_DEF;7_ACC_DEF
eine Schwangerschaft;einer Schwangerschaft;einer Schwangerschaft;eine Schwangerschaft;die Schwangerschaft;der Schwangerschaft;der Schwangerschaft;die Schwangerschaft
eine Seuche;einer Seuche;einer Seuche;eine Seuche;die Seuche;der Seuche;der Seuche;die Seuche
eine Skariainfektion;einer Skariainfektion;einer Skariainfektion;eine Skariainfektion;die Skariainfektion;der Skariainfektion;der Skariainfektion;die Skariainfektion
eine Stichwunde;einer Stichwunde;einer Stichwunde;eine Stichwunde;die Stichwunde;der Stichwunde;der Stichwunde;die Stichwunde
eine Strahlenverbrennung;einer Strahlenverbrennung;einer Strahlenverbrennung;eine Strahlenverbrennung;die Strahlenverbrennung;der Strahlenverbrennung;der Strahlenverbrennung;die Strahlenverbrennung
eine Überdosis Drogen;einer Überdosis Drogen;einer Überdosis Drogen;eine Überdosis Drogen;die Überdosis Drogen;der Überdosis Drogen;der Überdosis Drogen;die Überdosis Drogen
eine Verätzung;einer Verätzung;einer Verätzung;eine Verätzung;die Verätzung;der Verätzung;der Verätzung;die Verätzung
eine Verbrennung;einer Verbrennung;einer Verbrennung;eine Verbrennung;die Verbrennung;der Verbrennung;der Verbrennung;die Verbrennung
eine Verletzung;einer Verletzung;einer Verletzung;eine Verletzung;die Verletzung;der Verletzung;der Verletzung;die Verletzung
eine Wundinfektion;einer Wundinfektion;einer Wundinfektion;eine Wundinfektion;die Wundinfektion;der Wundinfektion;der Wundinfektion;die Wundinfektion
eine Wurminfektion;einer Wurminfektion;einer Wurminfektion;eine Wurminfektion;die Wurminfektion;der Wurminfektion;der Wurminfektion;die Wurminfektion
Gebrechlichkeit;
Kies;Kieses;Kies;Kies;Kies;Kieses;Kies;Kies
Sand;Sandes;Sand;Sand;Sand;Sandes;Sand;Sand
Schlamm;Schlamms;Schlamm;Schlamm;Schlamm;Schlamms;Schlamm;Schlamm
Wasser;Wassers;Wasser;Wasser;Wasser;Wassers;Wasser;Wasser
// DefInjected\PawnKindDef\* (\w+\.labelPlural)
Affen;Affen;Affen;Affen;Affen;Affen;Affen;Affen
Alpakas;Alpakas;Alpakas;Alpakas;Alpakas;Alpakas;Alpakas;Alpakas
Alphabiber;Alphabiber;Alphabiber;Alphabiber;Alphabiber;Alphabiber;Alphabiber;Alphabiber
antike Soldaten;antiker Soldaten;antiken Soldaten;antike Soldaten;antiken Soldaten;antiken Soldaten;antiken Soldaten;antiken Soldaten
Berserker;Berserker;Berserkern;Berserker;Berserker;Berserker;Berserkern;Berserker
Berserkermeister;Berserkermeister;Berserkermeistern;Berserkermeister;Berserkermeister;Berserkermeister;Berserkermeistern;Berserkermeister
Bisons;Bisons;Bisons;Bisons;Bisons;Bisons;Bisons;Bisons
Blaster-Raupen;Blaster-Raupen;Blaster-Raupen;Blaster-Raupen;Blaster-Raupen;Blaster-Raupen;Blaster-Raupen;Blaster-Raupen
Bogenmeister;Bogenmeister;Bogenmeistern;Bogenmeister;Bogenmeister;Bogenmeister;Bogenmeistern;Bogenmeister
Bogenschützen;Bogenschützen;Bogenschützen;Bogenschützen;Bogenschützen;Bogenschützen;Bogenschützen;Bogenschützen
Boomalopen;Boomalopen;Boomalopen;Boomalopen;Boomalopen;Boomalopen;Boomalopen;Boomalopen
Boomratten;Boomratten;Boomratten;Boomratten;Boomratten;Boomratten;Boomratten;Boomratten
Bosse;Bosse;Bossen;Bosse;Bosse;Bosse;Bossen;Bosse
Büßer;Büßer;Büßern;Büßer;Büßer;Büßer;Büßern;Büßer
Chinchillas;Chinchillas;Chinchillas;Chinchillas;Chinchillas;Chinchillas;Chinchillas;Chinchillas
Dorfbewohner;Dorfbewohner;Dorfbewohnern;Dorfbewohner;Dorfbewohner;Dorfbewohner;Dorfbewohnern;Dorfbewohner
Dromedare;Dromedare;Dromedaren;Dromedare;Dromedare;Dromedare;Dromedaren;Dromedare
Durchbrecher;Durchbrecher;Durchbrechern;Durchbrecher;Durchbrecher;Durchbrecher;Durchbrechern;Durchbrecher
Eichhörnchen;Eichhörnchen;Eichhörnchen;Eichhörnchen;Eichhörnchen;Eichhörnchen;Eichhörnchen;Eichhörnchen
Eisbären;Eisbären;Eisbären;Eisbären;Eisbären;Eisbären;Eisbären;Eisbären
Elefanten;Elefanten;Elefanten;Elefanten;Elefanten;Elefanten;Elefanten;Elefanten
Elite-Söldner;Elite-Söldner;Elite-Söldnern;Elite-Söldner;Elite-Söldner;Elite-Söldner;Elite-Söldnern;Elite-Söldner
EMP-Grenadiere;EMP-Grenadiere;EMP-Grenadieren;EMP-Grenadiere;EMP-Grenadiere;EMP-Grenadiere;EMP-Grenadieren;EMP-Grenadiere
Emus;Emus;Emus;Emus;Emus;Emus;Emus;Emus
Enten;Enten;Enten;Enten;Enten;Enten;Enten;Enten
Esel;Esel;Eseln;Esel;Esel;Esel;Eseln;Esel
Gänse;Gänse;Gänsen;Gänse;Gänse;Gänse;Gänsen;Gänse
Gazellen;Gazellen;Gazellen;Gazellen;Gazellen;Gazellen;Gazellen;Gazellen
Grenadiere;Grenadiere;Grenadieren;Grenadiere;Grenadiere;Grenadiere;Grenadieren;Grenadiere
Grizzlybären;Grizzlybären;Grizzlybären;Grizzlybären;Grizzlybären;Grizzlybären;Grizzlybären;Grizzlybären
Händler;Händler;Händlern;Händler;Händler;Händler;Händlern;Händler
Hasen;Hasen;Hasen;Hasen;Hasen;Hasen;Hasen;Hasen
Herumtreiber;Herumtreiber;Herumtreibern;Herumtreiber;Herumtreiber;Herumtreiber;Herumtreibern;Herumtreiber
Hirsche;Hirsche;Hirschen;Hirsche;Hirsche;Hirsche;Hirschen;Hirsche
Höhlenkäfer;Höhlenkäfer;Höhlenkäfern;Höhlenkäfer;Höhlenkäfer;Höhlenkäfer;Höhlenkäfern;Höhlenkäfer
Hühner;Hühner;Hühnern;Hühner;Hühner;Hühner;Hühnern;Hühner
Huskys;Huskys;Huskys;Huskys;Huskys;Huskys;Huskys;Huskys
Inferno-Raupen;Inferno-Raupen;Inferno-Raupen;Inferno-Raupen;Inferno-Raupen;Inferno-Raupen;Inferno-Raupen;Inferno-Raupen
Jäger;Jäger;Jägern;Jäger;Jäger;Jäger;Jägern;Jäger
Karibus;Karibus;Karibus;Karibus;Karibus;Karibus;Karibus;Karibus
Kasuare;Kasuare;Kasuaren;Kasuare;Kasuare;Kasuare;Kasuaren;Kasuare
Katzen;Katzen;Katzen;Katzen;Katzen;Katzen;Katzen;Katzen
Keiler;Keiler;Keilern;Keiler;Keiler;Keiler;Keilern;Keiler
Kobras;Kobras;Kobras;Kobras;Kobras;Kobras;Kobras;Kobras
Krieger;Krieger;Kriegern;Krieger;Krieger;Krieger;Kriegern;Krieger
Labrador Retriever;Labrador Retriever;Labrador Retrievern;Labrador Retriever;Labrador Retriever;Labrador Retriever;Labrador Retrievern;Labrador Retriever
Lanzer;Lanzer;Lanzern;Lanzer;Lanzer;Lanzer;Lanzern;Lanzer
Leguane;Leguane;Leguanen;Leguane;Leguane;Leguane;Leguanen;Leguane
Luchse;Luchse;Luchsen;Luchse;Luchse;Luchse;Luchsen;Luchse
Meerschweinchen;Meerschweinchen;Meerschweinchen;Meerschweinchen;Meerschweinchen;Meerschweinchen;Meerschweinchen;Meerschweinchen
Megafaultiere;Megafaultiere;Megafaultieren;Megafaultiere;Megafaultiere;Megafaultiere;Megafaultieren;Megafaultiere
Megaskarabäen;Megaskarabäen;Megaskarabäen;Megaskarabäen;Megaskarabäen;Megaskarabäen;Megaskarabäen;Megaskarabäen
Megaspinnen;Megaspinnen;Megaspinnen;Megaspinnen;Megaspinnen;Megaspinnen;Megaspinnen;Megaspinnen
Minigun-Raupen;Minigun-Raupen;Minigun-Raupen;Minigun-Raupen;Minigun-Raupen;Minigun-Raupen;Minigun-Raupen;Minigun-Raupen
Muffalos;Muffalos;Muffalos;Muffalos;Muffalos;Muffalos;Muffalos;Muffalos
mysteriöse Fremde;mysteriöser Fremder;mysteriösen Fremden;mysteriöse Fremde;mysteriösen Fremden;mysteriösen Fremden;mysteriösen Fremden;mysteriösen Fremden
Nashörner;Nashörner;Nashörnern;Nashörner;Nashörner;Nashörner;Nashörnern;Nashörner
Panther;Panther;Panthern;Panther;Panther;Panther;Panthern;Panther
Pferde;Pferde;Pferden;Pferde;Pferde;Pferde;Pferden;Pferde
Pikeniere;Pikeniere;Pikenieren;Pikeniere;Pikeniere;Pikeniere;Pikenieren;Pikeniere
Piratenschützen;Piratenschützen;Piratenschützen;Piratenschützen;Piratenschützen;Piratenschützen;Piratenschützen;Piratenschützen
Plünderschläger;Plünderschläger;Plünderschlägern;Plünderschläger;Plünderschläger;Plünderschläger;Plünderschlägern;Plünderschläger
Plünderschützen;Plünderschützen;Plünderschützen;Plünderschützen;Plünderschützen;Plünderschützen;Plünderschützen;Plünderschützen
Polarfüchse;Polarfüchse;Polarfüchsen;Polarfüchse;Polarfüchse;Polarfüchse;Polarfüchsen;Polarfüchse
Polarwölfe;Polarwölfe;Polarwölfen;Polarwölfe;Polarwölfe;Polarwölfe;Polarwölfen;Polarwölfe
Pumas;Pumas;Pumas;Pumas;Pumas;Pumas;Pumas;Pumas
Ratten;Ratten;Ratten;Ratten;Ratten;Ratten;Ratten;Ratten
Rauch-Grenadiere;Rauch-Grenadiere;Rauch-Grenadieren;Rauch-Grenadiere;Rauch-Grenadiere;Rauch-Grenadiere;Rauch-Grenadieren;Rauch-Grenadiere
Rinder;Rinder;Rindern;Rinder;Rinder;Rinder;Rindern;Rinder
Rotfüchse;Rotfüchse;Rotfüchsen;Rotfüchse;Rotfüchse;Rotfüchse;Rotfüchsen;Rotfüchse
Schafe;Schafe;Schafen;Schafe;Schafe;Schafe;Schafen;Schafe
Schildkröten;Schildkröten;Schildkröten;Schildkröten;Schildkröten;Schildkröten;Schildkröten;Schildkröten
Schneehasen;Schneehasen;Schneehasen;Schneehasen;Schneehasen;Schneehasen;Schneehasen;Schneehasen
Schnitter;Schnitter;Schnittern;Schnitter;Schnitter;Schnitter;Schnittern;Schnitter
Schweine;Schweine;Schweinen;Schweine;Schweine;Schweine;Schweinen;Schweine
schwere Bogenschützen;schwerer Bogenschützen;schweren Bogenschützen;schwere Bogenschützen;schweren Bogenschützen;schweren Bogenschützen;schweren Bogenschützen;schweren Bogenschützen
schwere Söldner;schwerer Söldner;schweren Söldnern;schwere Söldner;schweren Söldner;schweren Söldner;schweren Söldnern;schweren Söldner
Sklaven;Sklaven;Sklaven;Sklaven;Sklaven;Sklaven;Sklaven;Sklaven
Söldnerscharfschützen;Söldnerscharfschützen;Söldnerscharfschützen;Söldnerscharfschützen;Söldnerscharfschützen;Söldnerscharfschützen;Söldnerscharfschützen;Söldnerscharfschützen
Söldnerschlitzer;Söldnerschlitzer;Söldnerschlitzern;Söldnerschlitzer;Söldnerschlitzer;Söldnerschlitzer;Söldnerschlitzern;Söldnerschlitzer
Söldnerschützen;Söldnerschützen;Söldnerschützen;Söldnerschützen;Söldnerschützen;Söldnerschützen;Söldnerschützen;Söldnerschützen
Stadthändler;Stadthändler;Stadthändlern;Stadthändler;Stadthändler;Stadthändler;Stadthändlern;Stadthändler
Stadträte;Stadträte;Stadträten;Stadträte;Stadträte;Stadträte;Stadträten;Stadträte
Stadtwachen;Stadtwachen;Stadtwachen;Stadtwachen;Stadtwachen;Stadtwachen;Stadtwachen;Stadtwachen
Steinböcke;Steinböcke;Steinböcken;Steinböcke;Steinböcke;Steinböcke;Steinböcken;Steinböcke
Strauße;Strauße;Straußen;Strauße;Strauße;Strauße;Straußen;Strauße
Termiten;Termiten;Termiten;Termiten;Termiten;Termiten;Termiten;Termiten
Thrumbos;Thrumbos;Thrumbos;Thrumbos;Thrumbos;Thrumbos;Thrumbos;Thrumbos
Timberwölfe;Timberwölfe;Timberwölfen;Timberwölfe;Timberwölfe;Timberwölfe;Timberwölfen;Timberwölfe
Truthähne;Truthähne;Truthähnen;Truthähne;Truthähne;Truthähne;Truthähnen;Truthähne
Wapitis;Wapitis;Wapitis;Wapitis;Wapitis;Wapitis;Wapitis;Wapitis
Warge;Warge;Wargen;Warge;Warge;Warge;Wargen;Warge
Waschbären;Waschbären;Waschbären;Waschbären;Waschbären;Waschbären;Waschbären;Waschbären
Wasserschweine;Wasserschweine;Wasserschweinen;Wasserschweine;Wasserschweine;Wasserschweine;Wasserschweinen;Wasserschweine
Weltraumflüchtlinge;Weltraumflüchtlinge;Weltraumflüchtlingen;Weltraumflüchtlinge;Weltraumflüchtlinge;Weltraumflüchtlinge;Weltraumflüchtlingen;Weltraumflüchtlinge
wilde Menschen;wilder Menschen;wilden Menschen;wilde Menschen;wilden Menschen;wilden Menschen;wilden Menschen;wilden Menschen
Wüstenfüchse;Wüstenfüchse;Wüstenfüchsen;Wüstenfüchse;Wüstenfüchse;Wüstenfüchse;Wüstenfüchsen;Wüstenfüchse
Yaks;Yaks;Yaks;Yaks;Yaks;Yaks;Yaks;Yaks
Yorkshire Terrier;Yorkshire Terrier;Yorkshire Terriern;Yorkshire Terrier;Yorkshire Terrier;Yorkshire Terrier;Yorkshire Terriern;Yorkshire Terrier
Ziegen;Ziegen;Ziegen;Ziegen;Ziegen;Ziegen;Ziegen;Ziegen
