KEY;1_GEN_ART;2_NOM_ADJ
Entwurf;des Entwurfs;er Entwurf
Erdbewegung;der Erdbewegung;e Erdbewegung
Erforschung;der Erforschung;e Erforschung
Ernährung;der Ernährung;e Ernährung
Ernten;des Erntens;es Ernten
Errichten;des Errichtens;es Errichten
Errichtung;der Errichtung;e Errichtung
Erze;der Erze;e Erze
Essen;des Essens;es Essen
Etikette;der Etikette;e Etikette
Experimente;der Experimente;e Experimente
Experimentieren;des Experimentierens;es Experimentieren
Expression;der Expression;e Expression
Fabrikation;der Fabrikation;e Fabrikation
Fauna;der Fauna;e Fauna
Faustkampf;des Faustkampfs;er Faustkampf
Fechten;des Fechtens;es Fechten
Fernkampf;des Fernkampfs;er Fernkampf
Fernkampftaktik;der Fernkampftaktik;e Fernkampftaktik
Fertigung;der Fertigung;e Fertigung
Feuerwaffen;der Feuerwaffen;e Feuerwaffen
Flora;der Flora;e Flora
Fördern;des Förderns;es Fördern
Forschung;der Forschung;e Forschung
Forschungsmethoden;der Forschungsmethoden;e Forschungsmethoden
Führung;der Führung;e Führung
Fundament;des Fundaments;es Fundament
Gärtnerei;der Gärtnerei;e Gärtnerei
Gastronomie;der Gastronomie;e Gastronomie
Geflügel;des Geflügels;es Geflügel
Gemmologie;der Gemmologie;e Gemmologie
Gemüse;des Gemüses;es Gemüse
Geologie;der Geologie;e Geologie
Geschmack;des Geschmacks;er Geschmack
Gestaltung;der Gestaltung;e Gestaltung
Gesundheitsforschung;der Gesundheitsforschung;e Gesundheitsforschung
Gesundheitswesen;des Gesundheitswesens;es Gesundheitswesen
Gewehre;der Gewehre;e Gewehre
Gewürze;der Gewürze;e Gewürze
Graben;des Grabens;es Graben
Handarbeit;der Handarbeit;e Handarbeit
Handel;des Handels;er Handel
Handwerk;des Handwerks;es Handwerk
Hautreparatur;der Hautreparatur;e Hautreparatur
Herstellung;der Herstellung;e Herstellung
Hortikultur;der Hortikultur;e Hortikultur
Impressionismus;des Impressionismus;er Impressionismus
Infrastruktur;der Infrastruktur;e Infrastruktur
Innovation;der Innovation;e Innovation
Kampf;des Kampfes;er Kampf
Kämpfen;des Kämpfens;es Kämpfen
Kampfkunst;der Kampfkunst;e Kampfkunst
Kochen;des Kochens;es Kochen
Kommunikation;der Kommunikation;e Kommunikation
Konfliktlösung;der Konfliktlösung;e Konfliktlösung
Konstruieren;des Konstruierens;es Konstruieren
Konstruktion;der Konstruktion;e Konstruktion
Krankenpflege;der Krankenpflege;e Krankenpflege
Krankheitsbewältigung;der Krankheitsbewältigung;e Krankheitsbewältigung
Kräuter;der Kräuter;e Kräuter
Kreativität;der Kreativität;e Kreativität
Küche;der Küche;e Küche
Kultivierung;der Kultivierung;e Kultivierung
Kulturführung;der Kulturführung;e Kulturführung
Kunst;der Kunst;e Kunst
Landwirtschaft;der Landwirtschaft;e Landwirtschaft
Lebensmittel;der Lebensmittel;e Lebensmittel
Lebensmittelproduktion;der Lebensmittelproduktion;e Lebensmittelproduktion
Mahlzeiten;der Mahlzeiten;e Mahlzeiten
Malen;des Malens;e Malen
Malerei;der Malerei;e Malerei
Maschinenbau;des Maschinenbaus;er Maschinenbau
Mathematik;der Mathematik;e Mathematik
Medizin;der Medizin;e Medizin
Mineralien;der Mineralien;e Mineralien
Mitgefühl;des Mitgefühls;es Mitgefühl
Montage;der Montage;e Montage
Nahkampf;des Nahkampfs;er Nahkampf
Nahrung;der Nahrung;e Nahrung
Notfallmedizin;der Notfallmedizin;e Notfallmedizin
Operation;der Operation;e Operation
Pathologie;der Pathologie;e Pathologie
Patientenversorgung;der Patientenversorgung;e Patientenversorgung
Permakultur;der Permakultur;e Permakultur
Pflanzen;der Pflanzen;e Pflanzen
Pflanzenbaukunde;der Pflanzenbaukunde;e Pflanzenbaukunde
Pharmakologie;der Pharmakologie;e Pharmakologie
Physik;der Physik;e Physik
Physiologie;der Physiologie;e Physiologie
Pistolen;der Pistolen;e Pistolen
Präzisionsschießen;des Präzisionsschießens;es Präzisionsschießen
Produktion;der Produktion;e Produktion
Prügelei;der Prügelei;e Prügelei
quantitative Analyse;der quantitativen Analyse;e quantitative Analyse
Rauferei;der Rauferei;e Rauferei
Raumflugmechanik;der Raumflugmechanik;e Raumflugmechanik
Renovierung;der Renovierung;e Renovierung
Rezepte;der Rezepte;e Rezepte
Rittertum;des Rittertums;es Rittertum
Sanierung;der Sanierung;e Sanierung
Scharfschießen;des Scharfschießens;es Scharfschießen
Schießen;des Schießens;es Schießen
Schießerei;der Schießerei;e Schießerei
Schießkunst;der Schießkunst;e Schießkunst
Schlägerei;der Schlägerei;e Schlägerei
Schürfen;des Schürfens;es Schürfen
Schusswaffen;der Schusswaffen;e Schusswaffen
Schwertkampf;des Schwertkampfs;er Schwertkampf
Skulptur;der Skulptur;e Skulptur
Soßen;der Soßen;e Soßen
Steinbruch;des Steinbruchs;er Steinbruch
Strukturen;der Strukturen;e Strukturen
Tagebau;des Tagebaus;er Tagebau
Teamarbeit;der Teamarbeit;e Teamarbeit
Tiere;der Tiere;e Tiere
Tierhaltung;der Tierhaltung;e Tierhaltung
Töpferei;der Töpferei;e Töpferei
Töpfern;des Töpferns;es Töpfern
Treffsicherheit;der Treffsicherheit;e Treffsicherheit
Tunnelbau;des Tunnelbaus;er Tunnelbau
Verhandlung;der Verhandlung;e Verhandlung
Vernetzung;der Vernetzung;e Vernetzung
Versuchsplanung;der Versuchsplanung;e Versuchsplanung
Viehzucht;der Viehzucht;e Viehzucht
Virologie;der Virologie;e Virologie
Waffen;der Waffen;e Waffen
Waffenhandhabung;der Waffenhandhabung;e Waffenhandhabung
Wildtiere;der Wildtiere;e Wildtiere
Wissen;des Wissens;es Wissen
Wissenschaft;der Wissenschaft;e Wissenschaft
Zähmen;des Zähmens;es Zähmen
Zähmung;der Zähmung;e Zähmung
Zielen;des Zielens;es Zielen
Zielübungen;der Zielübungen;e Zielübungen
Zoologie;der Zoologie;e Zoologie
Zucht;der Zucht;e Zucht
Züchten;des Züchtens;es Züchten
Zuhören;des Zuhörens;es Zuhören
Zusammenarbeit;der Zusammenarbeit;e Zusammenarbeit
Zutaten;der Zutaten;e Zutaten
